id,text,len tweet,likes,rt,position
1271470123614756866,"Yes, Your Grace is now available for Digital Pre-order and Pre-download on Xbox One. Save 15% - limited time offer https://t.co/1PiLJoZhxE",138,92,12,0
1271468038785658880,Radical Rabbit Stew is now available for Digital Pre-order and Pre-download on Xbox One https://t.co/QvrEby95i3,111,72,10,0
1271464754582712320,Goosebumps Dead Of Night is now available for Xbox One https://t.co/NKt7GrNIyB https://t.co/uo8I9rKTXo,102,110,11,0
1271306204170424326,Super Soccer Blast is now available for Xbox One https://t.co/MQb5njtYgR https://t.co/mln5fymqsT,96,163,19,0
1271303923781955584,Spacejacked from @RottenMage and @RatalaikaGames is now available for Xbox One. Save 20% - limited time offer https://t.co/5MzH40g9js,133,97,16,0
1271302967195398144,Project Warlock is now available for Xbox One https://t.co/gsJOhbBYL3,69,278,36,0
1271300508616032257,Horde Of Plenty is now available for Xbox One https://t.co/Tjd5ImSJCw https://t.co/Nh8FY8CwgL,93,116,15,0
1271300038367432704,"The Jackbox Party Trilogy 2.0 (@jackboxgames) is now available for Xbox One, includes all the games from The Jackbo… https://t.co/e6ZxG0NGJQ",140,90,12,0
1271297613279531009,Warborn is now available for Xbox One https://t.co/WTlxWfhOPQ https://t.co/aBL7BxumeZ,85,144,19,0
1271296346557841410,Tower Of Time is now available for Digital Pre-order and Pre-download on Xbox One. Save 20% - limited time offer https://t.co/bmJDIM3tp4,136,126,11,0
1271236187999498240,"RT @Xbox: If he knows your name, it’s already too late.

HITMAN 3 is coming to the most powerful console ever. #PowerYourDreams https://t.c…",140,0,1043,0
1271202543486373888,RT @remedygames: We're glad to be able to share that @ControlRemedy will be coming to PlayStation 5 and Xbox Series X. More details coming…,139,0,851,0
1271202438335229952,Two more great titles coming to Xbox Series X! https://t.co/RJVTEv4zwO,70,2795,334,0
1271202006988775424,"RT @aarongreenberg: Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hi…",140,0,3372,0
1271169987760119809,RT @KINGDOMHEARTS: KINGDOM HEARTS HD 1.5 + 2.5 ReMIX and KINGDOM HEARTS HD 2.8 Final Chapter Prologue are now available on @XboxGamePass!…,138,0,1389,0
1271150925357309952,Congrats to @XboxP3 ! https://t.co/LyYU9eVsQE https://t.co/WcWjrxWqjv,69,2425,203,0
1271144112582848512,"RT @XboxP3: Thank you, @G4C, we’re honored to be recognized. Gaming has incredible power to mobilize positive change and we’ll continue to…",139,0,197,0
1271134263304269825,Now available on @XboxGamePass &amp; @XboxGamePassPC https://t.co/mRxOyZpwaV,76,1037,125,0
1271095377643442176,"Xbox Live Gold and Xbox Game Pass Ultimate members, play Soulcalibur VI, Tom Clancy’s Rainbow Six Siege, and Dead b… https://t.co/cwriCupqrB",140,467,89,0
1271086939534323712,"RT @businessinsider: When the PlayStation 5 and next-gen Xbox arrive this holiday, major games will be playable across generations for the…",139,0,207,0
1271065095896879105,Xbox (Beta) app on Windows 10 is getting an update and some enhancements. Read all about it here: https://t.co/q9y6SzialQ,121,775,142,0
1270937372444651520,Windbound is now available for Digital Pre-order and Pre-download on Xbox One https://t.co/rUvwBDgfRE,101,307,45,0
1270935453798068224,Beyond Blue (@BeyondBlueGame) from @ELineMedia  is now available for Xbox One https://t.co/yMvPhN5DON,101,318,55,0
1270858878146605056,ICYMI: More games are coming to @XboxGamePass  &amp; @XboxGamePassPC https://t.co/r7V8FSdes8,92,420,41,0
1270835786074615808,Read about how Dirt 5 is optimized for Xbox Series X - plus watch my interview with the games Technical Director… https://t.co/vNlnvqzSXJ,137,685,120,0
1270808687406247937,"In this blog post by @jronald he shares ""Everything You Need to Know about Xbox Series X and The Future of Xbox…So… https://t.co/eswApTein4",139,1053,202,0
1270745385493868545,The Elder Scrolls Online: Greymoor is now available for Xbox One https://t.co/YJGpamPrT1 https://t.co/pmQDgl4NQh,112,312,40,0
1270739046927486977,RT @BangOlufsen: We are excited to announce that we have joined forces with @Xbox to create a new audio proposition catered for the high-en…,140,0,640,0
1270702380200296449,More games coming soon to @XboxGamePass and @XboxGamePassPC. See the full list and dates they'll be added here: https://t.co/hPqyWtrMHf,135,2685,540,0
1270502559178883072,"RT @Polygon: How Xbox Smart Delivery works, and why it will save you money https://t.co/vRPfm1vVgX https://t.co/YQht1H3vAv",122,0,108,0
1270403227842801664,From @WIRED -&gt; Read this interview with @XboxP3 and see why he thinks the future of @Xbox is more than a console… https://t.co/OTkWEtjbtj,140,902,154,0
1269101688608002051,Phil shares how everyone at #TeamXbox feels https://t.co/bbDUS1avds,67,1028,85,0
1267907422275813376,@shanselman @Petrroll @WithinRafael @CharlesGames_cz Hit me up major (at) Xbox -dot-com,87,9,0,0
